Participant,Construction,Accent,Speaker,Item,Correct
S176,DO,None,Idan,20,FALSE
S176,PO,None,Idan,2,FALSE
S176,PO,None,Idan,5,FALSE
S176,DO,None,Idan,17,FALSE
S176,PO,None,Idan,7,FALSE
S176,PO,None,Idan,12,TRUE
S176,PO,None,Idan,14,FALSE
S177,DO,None,Nezar,4,TRUE
S177,DO,None,Nezar,8,FALSE
S177,PO,None,Nezar,7,TRUE
S177,DO,None,Nezar,20,TRUE
S177,DO,None,Nezar,19,FALSE
S177,DO,None,Nezar,11,FALSE
S177,DO,None,Nezar,17,TRUE
S177,DO,None,Nezar,15,FALSE
S177,PO,None,Nezar,18,TRUE
S177,PO,None,Nezar,9,TRUE
S177,PO,None,Nezar,2,FALSE
S177,PO,None,Nezar,3,TRUE
S177,PO,None,Nezar,12,TRUE
S177,PO,None,Nezar,10,FALSE
S177,DO,None,Nezar,6,TRUE
S177,DO,None,Nezar,1,TRUE
S177,DO,None,Nezar,13,TRUE
S177,PO,None,Nezar,5,TRUE
S177,PO,None,Nezar,16,TRUE
S179,PO,Accent,Idan,5,TRUE
S179,PO,Accent,Idan,12,TRUE
S179,DO,Accent,Idan,15,TRUE
S179,DO,Accent,Idan,19,FALSE
S179,PO,Accent,Idan,14,TRUE
S179,PO,Accent,Idan,3,TRUE
S179,DO,Accent,Idan,11,TRUE
S179,PO,Accent,Idan,7,TRUE
S179,PO,Accent,Idan,2,TRUE
S179,PO,Accent,Idan,16,TRUE
S179,DO,Accent,Idan,6,TRUE
S179,DO,Accent,Idan,1,TRUE
